CDREDE;DE;CODMUN;MUN;CATEG;TIPOESC;COD_ESC;NOMESC;AL_ALEMAO_DU;AL_ESPANHOL_DU;AL_FRANCES_DU;AL_INGLES_DU;AL_ITALIANO_DU;AL_JAPONES_DU;AL_MANDARIM_DU;TOTAL_AL_DU;AL_ALEMAO_SAB_SEMANA;AL_ESPANHOL_SAB_SEMANA;AL_FRANCES_SAB_SEMANA;AL_INGLES_SAB_SEMANA;AL_ITALIANO_SAB_SEMANA;AL_JAPONES_SAB_SEMANA;AL_MANDARIM_SAB_SEMANA;TOTAL_AL_SAB_SEMANA;AL_ALEMAO_SAB;AL_ESPANHOL_SAB;AL_FRANCES_SAB;AL_INGLES_SAB;AL_ITALIANO_SAB;AL_JAPONES_SAB;AL_MANDARIM_SAB;TOTAL_AL_SAB;CL_ALEMAO_DU;CL_ESPANHOL_DU;CL_FRANCES_DU;CL_INGLES_DU;CL_ITALIANO_DU;CL_JAPONES_DU;CL_MANDARIM_DU;TOTAL_CL_DU;CL_ALEMAO_SAB_SEMANA;CL_ESPANHOL_SAB_SEMANA;CL_FRANCES_SAB_SEMANA;CL_INGLES_SAB_SEMANA;CL_ITALIANO_SAB_SEMANA;CL_JAPONES_SAB_SEMANA;CL_MANDARIM_SAB_SEMANA;TOTAL_CL_SAB_SEMANA;CL_ALEMAO_SAB;CL_ESPANHOL_SAB;CL_FRANCES_SAB;CL_INGLES_SAB;CL_ITALIANO_SAB;CL_JAPONES_SAB;CL_MANDARIM_SAB;TOTAL_CL_SAB;TOTAL_TOTAL_AL;TOTAL_TOTAL_CL
10102;CENTRO;100;SAO PAULO;2;6;985107;CEL JTO A EE MAURO DE OLIVEIRA PROFESSOR;0;106;36;48;0;0;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;12
10205;LESTE 5;100;SAO PAULO;2;6;458296;CEL JTO A EE JOSE MARQUES DA CRUZ PROF;20;154;16;74;0;0;0;264;0;0;0;0;0;0;0;0;21;85;23;19;20;0;0;168;2;8;1;3;0;0;0;14;0;0;0;0;0;0;0;0;1;4;1;1;1;0;0;8;432;22
10314;SUL 2;100;SAO PAULO;2;6;985156;CEL JTO A EE LEOPOLDO SANTANA PROFESSOR;155;382;216;77;89;103;0;1022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;16;9;3;4;4;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1022;43
10316;CENTRO SUL;100;SAO PAULO;2;6;498634;CEL JTO A EE ROOSEVELT PRESIDENTE;0;139;41;22;0;36;0;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;1;0;3;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;238;18
10316;CENTRO SUL;100;SAO PAULO;2;6;985788;CEL JTO A EE JULIA MACEDO PANTOJA PROFESSORA;58;448;37;129;61;82;0;815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;24;3;5;4;5;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;815;45
10318;SUL 3;100;SAO PAULO;2;6;29828;CEL JTO A EE LAERTE RAMOS PROF DR;0;313;0;140;0;92;0;545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;5;0;5;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;545;22
10318;SUL 3;100;SAO PAULO;2;6;458399;CEL JTO A EE ALBERTO SALOTTI PROF;0;76;78;46;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;12
10318;SUL 3;100;SAO PAULO;2;6;985168;CEL JTO A EE PAULINO NUNES ESPOSO;0;201;0;61;0;0;0;262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;262;12
10401;CAIEIRAS;239;CAIEIRAS;2;6;499729;CEL JTO A EE WALTHER WEISZFLOG;40;163;0;52;0;0;0;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;2;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255;13
10401;CAIEIRAS;311;FRANCISCO MORATO;2;6;985659;CEL JTO A EE CELESTINA VALENTE LEGENFELDER;0;118;0;21;0;0;0;139;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;87;0;5;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;226;9
