CDREDE;DE;CODMUN;MUN;CATEG;TIPOESC;COD_ESC;NOMESC;AL_ALEMAO_DU;AL_ESPANHOL_DU;AL_FRANCES_DU;AL_INGLES_DU;AL_ITALIANO_DU;AL_JAPONES_DU;AL_MANDARIM_DU;TOTAL_AL_DU;AL_ALEMAO_SAB_SEMANA;AL_ESPANHOL_SAB_SEMANA;AL_FRANCES_SAB_SEMANA;AL_INGLES_SAB_SEMANA;AL_ITALIANO_SAB_SEMANA;AL_JAPONES_SAB_SEMANA;AL_MANDARIM_SAB_SEMANA;TOTAL_AL_SAB_SEMANA;AL_ALEMAO_SAB;AL_ESPANHOL_SAB;AL_FRANCES_SAB;AL_INGLES_SAB;AL_ITALIANO_SAB;AL_JAPONES_SAB;AL_MANDARIM_SAB;TOTAL_AL_SAB;CL_ALEMAO_DU;CL_ESPANHOL_DU;CL_FRANCES_DU;CL_INGLES_DU;CL_ITALIANO_DU;CL_JAPONES_DU;CL_MANDARIM_DU;TOTAL_CL_DU;CL_ALEMAO_SAB_SEMANA;CL_ESPANHOL_SAB_SEMANA;CL_FRANCES_SAB_SEMANA;CL_INGLES_SAB_SEMANA;CL_ITALIANO_SAB_SEMANA;CL_JAPONES_SAB_SEMANA;CL_MANDARIM_SAB_SEMANA;TOTAL_CL_SAB_SEMANA;CL_ALEMAO_SAB;CL_ESPANHOL_SAB;CL_FRANCES_SAB;CL_INGLES_SAB;CL_ITALIANO_SAB;CL_JAPONES_SAB;CL_MANDARIM_SAB;TOTAL_CL_SAB;TOTAL_TOTAL_AL;TOTAL_TOTAL_CL
10102;CENTRO;100;SAO PAULO;2;6;985107;CEL JTO A EE MAURO DE OLIVEIRA PROFESSOR;0;112;76;71;0;0;0;259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259;14
10104;NORTE 2;100;SAO PAULO;2;6;458338;CEL JTO A EE GUSTAVO BARROSO;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1
10205;LESTE 5;100;SAO PAULO;2;6;5865;CEL JTO A EE LOUREIRO JUNIOR PROFESSOR;0;47;0;56;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;8
10205;LESTE 5;100;SAO PAULO;2;6;458296;CEL JTO A EE JOSE MARQUES DA CRUZ PROF;27;167;21;25;5;0;0;245;0;0;0;0;0;0;0;0;5;74;0;23;0;0;0;102;2;9;1;2;1;0;0;15;0;0;0;0;0;0;0;0;1;4;0;1;0;0;0;6;347;21
10314;SUL 2;100;SAO PAULO;2;6;985156;CEL JTO A EE LEOPOLDO SANTANA PROFESSOR;76;418;243;86;25;72;0;920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;17;12;4;1;3;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;920;41
10316;CENTRO SUL;100;SAO PAULO;2;6;498634;CEL JTO A EE ROOSEVELT PRESIDENTE;0;218;77;53;0;34;0;382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;5;3;0;2;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;382;23
10316;CENTRO SUL;100;SAO PAULO;2;6;985788;CEL JTO A EE JULIA MACEDO PANTOJA PROFESSORA;42;494;60;83;75;115;0;869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;22;4;5;4;5;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;869;42
10318;SUL 3;100;SAO PAULO;2;6;29828;CEL JTO A EE LAERTE RAMOS PROF DR;0;414;0;142;0;142;0;698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;5;0;6;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;698;28
10318;SUL 3;100;SAO PAULO;2;6;458399;CEL JTO A EE ALBERTO SALOTTI PROF;0;216;87;26;0;0;0;329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;1;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329;15
10318;SUL 3;100;SAO PAULO;2;6;985168;CEL JTO A EE PAULINO NUNES ESPOSO;0;182;0;32;0;0;0;214;0;0;0;0;0;0;0;0;0;79;0;17;0;0;0;96;0;9;0;2;0;0;0;11;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;4;310;15
10401;CAIEIRAS;239;CAIEIRAS;2;6;499729;CEL JTO A EE WALTHER WEISZFLOG;30;181;0;46;0;0;0;257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;2;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257;14
10401;CAIEIRAS;311;FRANCISCO MORATO;2;6;985659;CEL JTO A EE CELESTINA VALENTE LEGENFELDER;0;146;0;43;0;0;0;189;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;87;0;7;0;2;0;0;0;9;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;276;12
10401;CAIEIRAS;312;FRANCO DA ROCHA;2;6;499742;CEL JTO A EE BENEDITO FAGUNDES MARQUES;0;349;0;32;0;0;0;381;0;0;0;0;0;0;0;0;0;25;0;34;0;0;0;59;0;14;0;1;0;0;0;15;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;440;17
10402;GUARULHOS SUL;336;GUARULHOS;2;6;985673;CEL JTO A EE ALICE CHUERY PROFESSORA;0;263;154;92;0;0;0;509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;8;3;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;509;26
10403;GUARULHOS NORTE;336;GUARULHOS;2;6;407331;CEL JTO A EE CONRADO SIVILA ALSINA PADRE;0;354;31;87;89;0;0;561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;2;8;6;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;561;39
10501;MOGI DAS CRUZES;454;MOGI DAS CRUZES;2;6;985752;CEL JTO A EE FRANCISCO FERREIRA LOPES;0;707;33;231;53;41;36;1101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;3;10;3;3;2;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1101;54
10502;SUZANO;305;FERRAZ DE VASCONCELOS;2;6;496443;CEL JTO A EE PROFA IGNES CORREA ALLEN;0;14;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2
10104;NORTE 2;100;SAO PAULO;2;6;458314;CEL JTO A EE VERIDIANA CAMACHO CARVALHO GOMES PROFA;0;150;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;7
